"","Cavendishia melastomoides","Dendropanax sp1 M_SD_019","Xylosma flexuosa","Prunus anularis","Maytenus sp1 M_SD_019","Solanum cordovense","Miconia sp1 M_SD_019","Blakea grasilis","Ossaea micrantha","Beilschmiedia costaricensis","Trophis mexicana","Guarea tonduzii","Ilex lamprophylla","Eugenia sp1 M_SD_019","Hieronyma guatemalensis","Zanthoxylum culantrillo","Nectandra davidsoniana","Witheringia solanacea","Matayba apetala","Palicourea galeottiana","Symplocarpon brenesii","Trema micrantha","Cestrum sp1 M_SD_019","Ocotea sp1 M_SD_019","Ocotea tonduzii","Prunus sp1 M_SD_019","Unidentified sp1 M_SD_019","Beilschmiedia sp2 M_SD_019","Cestrum racemosum","Concostegia xalapensis","Gonzalagunia rosea","Piper sp1 M_SD_019","Solanum umbellatum","Citharexylum macradenium","Clibadium sp1 M_SD_019","Clusia alata","Concostegia bernouliana","Dipholis parvifolia","Guatteria consanguinea","Hampea appendiculata","Hasseltia floribunda","Lycianthes multiflora","Nectandra gentlei","Nectandra hypoglauca","Symplocos sp2 M_SD_019","Witheringia coccoloboides","Xylosma chloranthum","Acnistus arborescens","Anthurium sp1 M_SD_019","Ardisia palmana","Besleria triflora","Bunchosia sp1 M_SD_019","Cecropia obtusifolia","Chamaedorea sp1 M_SD_019","Citharexylum integerrimum","Drymonia conchocalyx","Guettarda poasana","Neea amplifolia","Ossaea sp1 M_SD_019","Palicourea sp1 M_SD_019","Phoebe mexicana","Phytolacca rivinoides ","Phytolacca sp1 M_SD_019","Piper auritum","Solanum hispidum","Stemmadenia glabra","Burmeistera sp1 M_SD_019","Cavendishia capitulata","Cavendishia complectans","Cepahaelis elata","Concostegiaspeciosa sp1 M_SD_019","Dendropanax querceti","Mappia sp1 M_SD_019","Ocotea bernouliana","Prunus cornifolia","Rapanea myricoides","Rubus rosaefolia","Schefflera robusta","Unidentified sp4 M_SD_019","Xylosma intermedium","Bunchosia pilosa","Casearia sylvestris ","Clibadium sp2 M_SD_019","Concostegia puberrula","Coussarea sp1 M_SD_019","Dendropanax arboreus ","Epiphyte sp1 M_SD_019","Faramea quercetorum","Guarea glabra","Hamelia patens","Hoffmannia sp2 M_SD_019","Meliosma idiopoda","Ocotea austinii","Oreopanax oerstedianum","Oreopanax xalapensis","Paullinia sp1 M_SD_019","Psychotria parasitica","Psychotria sp3 M_SD_019","Satyria sp1 M_SD_019","Siparuna sp1 M_SD_019","Symplocos limoncillo","Unidentified sp3 M_SD_019","Unidentified sp7 M_SD_019","Urera elata","Viburnum costraricanum","Witheringia maculata","Alloplectus tetragonus","Anthurium sp2 M_SD_019","Anthurium sp3 M_SD_019","Ardisia compressa","Beilschmiedia sp1 M_SD_019","Besleria formosa","Besleria sp1 M_SD_019","Bocconia frutescens","Campelia zanonia","Cavendishia sp1 M_SD_019","Cestrum megalophyllum","Chione costaricensis","Columbrina celtififolia","Coussarea austin-smithii","Cupania glabra","Daphnopsis americana","Dendropanax gonatopodus","Didymopanax pittieri","Drymonia rubra","Erythroxylon amplum","Eugenia sp2 M_SD_019","Ficus pertusa","Ficus tuerckheimii","Gaiadendron punctatum","Guarea tuisiana","Hoffmannia sp1 M_SD_019","Hoffmannia sp3 M_SD_019","Lasiacis sp1 M_SD_019","Liana sp1 M_SD_019","Linociera dominguensis","Lycianthes synanthera","Malvaviscus arboreus","Mappia racemosa","Marcgravia brownei","Nectandra salicina","Nectandra sp1 M_SD_019","Nectandra sp2 M_SD_019","Ocotea klotzschtana","Ocotea sp2 M_SD_019","Ocotea sp3 M_SD_019","Ocotea wachenheimii","Oreopanax sp1 M_SD_019","Perrotettia longistylis","Persea sp1 M_SD_019","Persea sp2 M_SD_019","Persea veraguensis","Phoebe neurophylla","Picramnia carpinterae","Psychotria acuminata","Psychotria sp1 M_SD_019","Psychotria sp2 M_SD_019","Sapium oligoneuron","Smilax sp1 M_SD_019","Solanum nudum","Symplocos sp1 M_SD_019","Tabernaemontana sp1 M_SD_019","Torrubia costaricana","Tournefortia glabra","Unidentified sp2 M_SD_019","Unidentified sp5 M_SD_019","Unidentified sp6 M_SD_019","Unidentified sp8 M_SD_019","Witheringia sp1 M_SD_019"
"Psilhorinus morio",1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tangara dowii",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus assimilis",1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba fasciata",1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megarhynchus pitangua",1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus grayi",1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mionectes olivaceus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momotus momota",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myiarchus tuberculifer",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Myiozetetes similis",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlapetes gutturalis",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
